v_family,BLOSUM Score,Similarity Percentage,Perplexity
IGHV3-21,-70.0,6.363636363636363,25.54842185974121
IGHV3-23,-55.0,10.417690417690418,26.170379638671875
IGHV3-33,-70.0,7.207207207207207,24.878028869628906
IGHV4-39,-90.0,8.035714285714286,27.54878044128418
IGKV1-12,219.19872611464967,47.346619259374464,2.1900163269346686
IGKV1-13,196.9440789473684,45.18925327569511,1.6907788099426972
IGKV1-16,271.3598484848485,53.7637003084833,2.2004896792950053
IGKV1-17,291.8327359617682,57.53358504665644,2.083798604199536
IGKV1-27,231.02962962962962,48.90885616626471,2.1482072203247635
IGKV1-33,235.81235011990407,49.78697612878543,2.05733711667341
IGKV1-39,229.29755309325947,49.46153258855481,1.9261758504014046
IGKV1-5,223.26760953965612,47.916911067033425,1.9650189763496004
IGKV1-6,247.50935550935552,52.14338009684328,1.8247148393345474
IGKV1-8,191.76299376299377,44.04138909252449,1.8867925507115226
IGKV1-9,151.13440860215053,39.083345370490875,2.181645534371817
IGKV1-NL1,250.1375,51.24589917811515,2.092453561127186
IGKV1/OR10-1,-66.0,8.823529411764707,3.4001100063323975
IGKV1/OR2-108,384.0,70.75471698113208,2.2421350479125977
IGKV1D-12,201.15196078431373,44.93299227320546,2.1471227156180963
IGKV1D-13,219.1056338028169,48.30423648338653,1.7428757565122255
IGKV1D-16,248.84375,51.62417384534198,1.9389101055761178
IGKV1D-43,194.33333333333334,44.06764574988873,3.0433757305145264
IGKV1D-8,132.06748466257667,35.97782830757889,2.3114156094065472
IGKV2-24,-28.948051948051948,15.177829632188985,2.103749818053127
IGKV2-28,-17.890480202190396,16.789881982807106,2.042431681820999
IGKV2-29,-31.276315789473685,14.839640470071668,2.2692503861167976
IGKV2-30,-20.2807881773399,15.806095178104533,2.130182423967446
IGKV2-40,-74.66666666666667,10.349435612414759,2.5714361667633057
IGKV2D-24,-72.0,10.813789455122553,2.772577404975891
IGKV2D-26,-21.5,14.018691588785046,4.559983670711517
IGKV2D-29,-21.376126126126128,16.383290404273005,2.2294012627623103
IGKV2D-30,-23.571428571428573,15.55495177890788,2.1743480818612233
IGKV3-11,149.00376726663876,35.96552388638541,1.9933199367547145
IGKV3-15,168.65067911714772,38.947341793998646,1.9901891030459735
IGKV3-20,85.28118921922756,27.967016377317073,2.094617085080572
IGKV3-7,-55.0,6.9776876267748476,21.932676315307617
IGKV3/OR2-268,71.5,24.465226833707387,3.0529505908489227
IGKV3D-11,100.4,30.0679144519737,2.3467581192652385
IGKV3D-15,190.49640287769785,40.7689022321732,2.2722574000735936
IGKV3D-20,66.27619047619048,25.378651550857654,2.0364833684194656
IGKV4-1,-29.99421965317919,15.551570456681551,2.205028203411139
IGKV5-2,99.78260869565217,27.798633046476205,4.432409977567369
IGKV6-21,154.47508896797154,36.73412234030595,2.689055385962924
IGKV6D-21,169.34857142857143,38.70350199406797,2.5440662145614623
IGKV6D-41,-66.33333333333333,8.86093015795659,3.521351999706692
IGLV1-36,63.85321100917431,26.872831974842835,2.2951851093440974
IGLV1-40,-4.249266862170088,18.158150721182672,2.1369580483156914
IGLV1-44,61.48024786986832,25.661299682265415,2.264184564605967
IGLV1-47,84.95255474452554,28.740803852221728,2.700412353459936
IGLV1-51,51.40971085651937,24.68265420481236,2.202069475165626
IGLV10-54,56.346905537459286,23.255320137550385,2.8185764740460857
IGLV2-11,56.901933701657455,26.00284595895357,2.4101422967502426
IGLV2-14,54.19649262654444,25.410994895816426,2.290271504365291
IGLV2-18,107.99378881987577,32.53981276429368,2.3325369217380976
IGLV2-23,34.0436018957346,22.75317881320743,2.394389862132863
IGLV2-8,111.07616221562809,32.358466201341805,2.2573100668032726
IGLV3-1,-1.943893591293833,17.211186179186853,2.0197733469712835
IGLV3-10,-26.9225,14.102221146757628,2.2782117385665575
IGLV3-16,-23.5,15.145811699550016,2.719918966293335
IGLV3-19,-33.95693097547062,14.187303235044512,2.1793056024664548
IGLV3-21,-41.652331920048454,12.77072397294124,2.366043290320777
IGLV3-22,-33.07070707070707,13.113919988322086,3.079482755275688
IGLV3-25,-34.88309982486865,13.60884956714239,2.1600716299330083
IGLV3-27,-52.937777777777775,11.52911996496329,2.3808114817407398
IGLV3-9,-49.42446043165467,11.718346861920976,2.644369140803385
IGLV4-3,-23.2,13.33988660967889,4.936568307876587
IGLV4-60,-18.84476534296029,16.11893687183062,3.113826699205254
IGLV4-69,-14.876344086021506,15.944070244659088,3.108193169998866
IGLV5-37,-56.0,10.909841438419203,4.000522894518716
IGLV5-39,-52.627450980392155,10.930937366996469,4.44567027278975
IGLV5-45,-39.477756286266924,12.387153953556174,4.01896615600217
IGLV5-48,-45.2,11.848099644042536,4.895864454905192
IGLV6-57,30.242424242424242,19.762463781872277,2.501848429441452
IGLV7-43,-17.183982683982684,14.9103304152085,2.6817586210382967
IGLV7-46,-22.276845637583893,14.540321518684603,3.0075838155794465
IGLV8-61,23.823776223776225,20.672838054633438,2.652844891848264
IGLV9-49,-13.2,15.907749368592501,4.509865278667874
